query	blast_hit	evalue	ProteinNames	BiologicalProcess	GeneOntologyIDs	CellularComponent	MolecularFunction
Pocillopora_acuta_HIv2___RNAseq.g12933.t1	Q8C206	4.66e-23	G-protein coupled receptor 157	cell surface receptor signaling pathway [GO:0007166]; circadian behavior [GO:0048512]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; radial glial cell differentiation [GO:0060019]	GO:0004930; GO:0007166; GO:0007200; GO:0048512; GO:0060019; GO:0060170	ciliary membrane [GO:0060170]	G protein-coupled receptor activity [GO:0004930]
Pocillopora_acuta_HIv2___RNAseq.g10904.t1	Q60899	4.48e-55	ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B) (HuB) (Nervous system-specific RNA-binding protein Mel-N1)	cellular response to leukemia inhibitory factor [GO:1990830]	GO:0003723; GO:0045202; GO:1990830; GO:1990904	ribonucleoprotein complex [GO:1990904]; synapse [GO:0045202]	RNA binding [GO:0003723]
Pocillopora_acuta_HIv2___RNAseq.g4756.t1	Q8CGV7	6.17e-24	Thiamine-triphosphatase (ThTPase) (EC 3.6.1.28)	thiamine diphosphate biosynthetic process [GO:0009229]; thiamine diphosphate metabolic process [GO:0042357]; thiamine metabolic process [GO:0006772]	GO:0000287; GO:0005829; GO:0006772; GO:0009229; GO:0042357; GO:0050333	cytosol [GO:0005829]	magnesium ion binding [GO:0000287]; thiamine triphosphate phosphatase activity [GO:0050333]
Pocillopora_acuta_HIv2___RNAseq.g18942.t1	Q8IS64	5.66e-175	Endothelin-converting enzyme homolog (ECE) (EC 3.4.24.-)	protein processing [GO:0016485]	GO:0004175; GO:0004222; GO:0005886; GO:0008270; GO:0016485	plasma membrane [GO:0005886]	endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___TS.g2780.t1	Q91VS7	7.43e-12	Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I)	glutathione metabolic process [GO:0006749]	GO:0004364; GO:0005739; GO:0005741; GO:0005743; GO:0005783; GO:0005789; GO:0006749; GO:0016020	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	glutathione transferase activity [GO:0004364]
Pocillopora_acuta_HIv2___RNAseq.g6485.t1	Q6R2W3	5.47e-11	SCAN domain-containing protein 3 (Transposon-derived Buster4 transposase-like protein) (Zinc finger BED domain-containing protein 9)	DNA integration [GO:0015074]; positive regulation of cell cycle [GO:0045787]; positive regulation of epithelial cell proliferation [GO:0050679]	GO:0003676; GO:0005634; GO:0005737; GO:0015074; GO:0045787; GO:0050679	cytoplasm [GO:0005737]; nucleus [GO:0005634]	nucleic acid binding [GO:0003676]
Pocillopora_acuta_HIv2___TS.g28330.t1	B8V7S0	1.78e-61	CUB and peptidase domain-containing protein 1	proteolysis [GO:0006508]	GO:0004252; GO:0005576; GO:0006508	extracellular region [GO:0005576]	serine-type endopeptidase activity [GO:0004252]
Pocillopora_acuta_HIv2___RNAseq.g16592.t1	Q6P1U0	8.77e-85	Protein downstream neighbor of son homolog	cell division [GO:0051301]; DNA damage checkpoint signaling [GO:0000077]; DNA replication [GO:0006260]; mitotic DNA replication checkpoint signaling [GO:0033314]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; replication fork processing [GO:0031297]	GO:0000077; GO:0005634; GO:0005657; GO:0006260; GO:0007095; GO:0030894; GO:0031297; GO:0033314; GO:0051301	nucleus [GO:0005634]; replication fork [GO:0005657]; replisome [GO:0030894]	
Pocillopora_acuta_HIv2___RNAseq.g23269.t1	A0A1B0GUU1	4.69e-17	Uncharacterized protein C17orf113				
Pocillopora_acuta_HIv2___RNAseq.g16590.t1	P97718	1.15e-40	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor)	adrenergic receptor signaling pathway [GO:0071875]; adult heart development [GO:0007512]; cell growth involved in cardiac muscle cell development [GO:0061049]; MAPK cascade [GO:0000165]; negative regulation of autophagy [GO:0010507]; negative regulation of heart rate involved in baroreceptor response to increased systemic arterial blood pressure [GO:0001985]; negative regulation of Rho protein signal transduction [GO:0035024]; neuron-glial cell signaling [GO:0150099]; norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure [GO:0001994]; organ growth [GO:0035265]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; pilomotor reflex [GO:0097195]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of heart rate by epinephrine-norepinephrine [GO:0001996]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of the force of heart contraction by epinephrine-norepinephrine [GO:0001997]; regulation of blood pressure [GO:0008217]; regulation of cardiac muscle contraction [GO:0055117]; regulation of vasoconstriction [GO:0019229]	GO:0000165; GO:0001985; GO:0001994; GO:0001996; GO:0001997; GO:0004937; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0005901; GO:0007200; GO:0007512; GO:0008217; GO:0010507; GO:0010613; GO:0016020; GO:0019229; GO:0031965; GO:0035024; GO:0035265; GO:0043410; GO:0045987; GO:0046982; GO:0055117; GO:0061049; GO:0071875; GO:0097195; GO:0150099	caveola [GO:0005901]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	alpha1-adrenergic receptor activity [GO:0004937]; protein heterodimerization activity [GO:0046982]
Pocillopora_acuta_HIv2___RNAseq.g22992.t1	Q6PGT0	1.03e-122	Transcriptional adapter 3-A (ADA3 homolog A) (Transcriptional adapter 3-like A) (ADA3-like protein A)	regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000124; GO:0003713; GO:0005634; GO:0006357	nucleus [GO:0005634]; SAGA complex [GO:0000124]	transcription coactivator activity [GO:0003713]
Pocillopora_acuta_HIv2___RNAseq.g26207.t1	Q91YJ2	8.63e-119	Sorting nexin-4	endocytic recycling [GO:0032456]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of histamine secretion by mast cell [GO:1903595]; protein transport [GO:0015031]	GO:0005154; GO:0005158; GO:0005769; GO:0005868; GO:0005886; GO:0015031; GO:0031201; GO:0031901; GO:0032266; GO:0032456; GO:0035091; GO:0098830; GO:1903595; GO:1990459; GO:1990460; GO:2000786	cytoplasmic dynein complex [GO:0005868]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; plasma membrane [GO:0005886]; presynaptic endosome [GO:0098830]; SNARE complex [GO:0031201]	epidermal growth factor receptor binding [GO:0005154]; insulin receptor binding [GO:0005158]; leptin receptor binding [GO:1990460]; phosphatidylinositol binding [GO:0035091]; phosphatidylinositol-3-phosphate binding [GO:0032266]; transferrin receptor binding [GO:1990459]
Pocillopora_acuta_HIv2___RNAseq.g315.t1b	P28799	3.09e-124	Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)]	astrocyte activation involved in immune response [GO:0002265]; blastocyst hatching [GO:0001835]; embryo implantation [GO:0007566]; epithelial cell proliferation [GO:0050673]; locomotory exploration behavior [GO:0035641]; lysosomal lumen acidification [GO:0007042]; lysosomal protein catabolic process [GO:1905146]; lysosomal transport [GO:0007041]; lysosome organization [GO:0007040]; maintenance of synapse structure [GO:0099558]; microglial cell activation involved in immune response [GO:0002282]; negative regulation of microglial cell activation [GO:1903979]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of neutrophil activation [GO:1902564]; negative regulation of respiratory burst involved in inflammatory response [GO:0060266]; positive regulation of angiogenesis [GO:0045766]; positive regulation of aspartic-type peptidase activity [GO:1905247]; positive regulation of axon regeneration [GO:0048680]; positive regulation of cell migration [GO:0030335]; positive regulation of defense response to bacterium [GO:1900426]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of inflammatory response to wounding [GO:0106016]; positive regulation of lysosome organization [GO:1905673]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein folding [GO:1903334]; positive regulation of trophectodermal cell proliferation [GO:1904075]; protein stabilization [GO:0050821]; regulation of inflammatory response [GO:0050727]; retina development in camera-type eye [GO:0060041]; signal transduction [GO:0007165]; trophectodermal cell proliferation [GO:0001834]	GO:0001834; GO:0001835; GO:0002265; GO:0002282; GO:0003723; GO:0005125; GO:0005576; GO:0005615; GO:0005764; GO:0005765; GO:0005768; GO:0005770; GO:0005783; GO:0005794; GO:0005802; GO:0005886; GO:0007040; GO:0007041; GO:0007042; GO:0007165; GO:0007566; GO:0008083; GO:0010595; GO:0016020; GO:0030335; GO:0035578; GO:0035641; GO:0043524; GO:0043525; GO:0045766; GO:0048680; GO:0050673; GO:0050679; GO:0050727; GO:0050821; GO:0051087; GO:0060041; GO:0060266; GO:0070062; GO:0099558; GO:0106016; GO:0150053; GO:1900426; GO:1902564; GO:1903334; GO:1903979; GO:1904075; GO:1905146; GO:1905247; GO:1905673	azurophil granule lumen [GO:0035578]; cerebellar climbing fiber to Purkinje cell synapse [GO:0150053]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]	cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; protein-folding chaperone binding [GO:0051087]; RNA binding [GO:0003723]
Pocillopora_acuta_HIv2___RNAseq.g3156.t1	Q2VLG4	7.42e-49	Scavenger receptor cysteine-rich type 1 protein M130 (CD antigen CD163) [Cleaved into: Soluble CD163 (sCD163)]	acute-phase response [GO:0006953]	GO:0005576; GO:0005886; GO:0006953	extracellular region [GO:0005576]; plasma membrane [GO:0005886]	
Pocillopora_acuta_HIv2___RNAseq.g315.t1a	Q0P4C4	2.05e-76	Dephospho-CoA kinase domain-containing protein	coenzyme A biosynthetic process [GO:0015937]	GO:0004140; GO:0005524; GO:0015937		ATP binding [GO:0005524]; dephospho-CoA kinase activity [GO:0004140]
Pocillopora_acuta_HIv2___RNAseq.g3941.t1	C3ZQF9	4.39e-49	QRFP-like peptide receptor	cellular response to hormone stimulus [GO:0032870]; cellular response to peptide [GO:1901653]; G protein-coupled receptor signaling pathway [GO:0007186]	GO:0004930; GO:0004983; GO:0005886; GO:0007186; GO:0032870; GO:1901653	plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; neuropeptide Y receptor activity [GO:0004983]
Pocillopora_acuta_HIv2___RNAseq.g10782.t1	Q99MV1	5.42e-10	Tudor domain-containing protein 1	germ cell development [GO:0007281]; meiotic cell cycle [GO:0051321]; piRNA processing [GO:0034587]; spermatogenesis [GO:0007283]; transposable element silencing by piRNA-mediated DNA methylation [GO:0141196]	GO:0005737; GO:0005829; GO:0007281; GO:0007283; GO:0008270; GO:0033391; GO:0034587; GO:0043186; GO:0045202; GO:0051321; GO:0071546; GO:0141196; GO:1990904	chromatoid body [GO:0033391]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; P granule [GO:0043186]; pi-body [GO:0071546]; ribonucleoprotein complex [GO:1990904]; synapse [GO:0045202]	zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g110.t1	Q55E58	1.18e-21	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)	cheating during chimeric sorocarp development [GO:0099139]; mitotic cytokinesis [GO:0000281]; phosphatidylinositol dephosphorylation [GO:0046856]	GO:0000281; GO:0004438; GO:0004674; GO:0004721; GO:0005524; GO:0005525; GO:0005737; GO:0005829; GO:0016020; GO:0042641; GO:0046856; GO:0099139; GO:0106310	actomyosin [GO:0042641]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]	ATP binding [GO:0005524]; GTP binding [GO:0005525]; phosphatidylinositol-3-phosphate phosphatase activity [GO:0004438]; phosphoprotein phosphatase activity [GO:0004721]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Pocillopora_acuta_HIv2___RNAseq.g14327.t1	Q9LIQ6	1.45e-08	PHD finger protein ING1 (Protein INHIBITOR OF GROWTH 1) (Protein AtING1)	chromatin organization [GO:0006325]	GO:0005634; GO:0006325; GO:0008270; GO:0035064	nucleus [GO:0005634]	methylated histone binding [GO:0035064]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g15432.t1	Q5RKZ7	0	Molybdenum cofactor biosynthesis protein 1 [Includes: GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A); Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)]	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; molybdopterin cofactor biosynthetic process [GO:0032324]	GO:0005525; GO:0005829; GO:0006777; GO:0032324; GO:0046872; GO:0051539; GO:0061798; GO:0061799; GO:1904047	cytosol [GO:0005829]	4 iron, 4 sulfur cluster binding [GO:0051539]; cyclic pyranopterin monophosphate synthase activity [GO:0061799]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]
Pocillopora_acuta_HIv2___TS.g31178.t1	P19199	3.59e-06	Polyprotein P3 [Includes: Putative movement protein (MP); Capsid protein (Coat protein) (CP); Protease (PR) (EC 3.4.23.-); Reverse transcriptase (RT) (EC 2.7.7.49); Ribonuclease H (EC 3.1.26.4)]	proteolysis [GO:0006508]; symbiont entry into host cell [GO:0046718]; transport of virus in host, cell to cell [GO:0046740]; viral penetration into host nucleus [GO:0075732]	GO:0003676; GO:0003964; GO:0004190; GO:0004523; GO:0006508; GO:0008270; GO:0043657; GO:0046718; GO:0046740; GO:0075732	host cell [GO:0043657]	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g25619.t1	Q9Y334	2.64e-19	von Willebrand factor A domain-containing protein 7 (Protein G7c)		GO:0005576	extracellular region [GO:0005576]	
Pocillopora_acuta_HIv2___RNAseq.g14325.t1	Q9NYJ1	1.66e-14	Cytochrome c oxidase assembly factor 4 homolog, mitochondrial (Coiled-coil-helix-coiled-coil-helix domain-containing protein 8) (E2-induced gene 2 protein)	mitochondrial cytochrome c oxidase assembly [GO:0033617]	GO:0005739; GO:0005758; GO:0033617	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]	
Pocillopora_acuta_HIv2___TS.g19102.t1	Q8NBS3	0	Solute carrier family 4 member 11 (Sodium borate cotransporter 1) (NaBC1)	bicarbonate transport [GO:0015701]; borate transport [GO:0046713]; cellular hypotonic response [GO:0071476]; cellular response to oxidative stress [GO:0034599]; fluid transport [GO:0042044]; intracellular monoatomic cation homeostasis [GO:0030003]; monoatomic anion transport [GO:0006820]; monoatomic ion homeostasis [GO:0050801]; proton transmembrane transport [GO:1902600]; regulation of mesenchymal stem cell differentiation [GO:2000739]; regulation of mitochondrial membrane potential [GO:0051881]; sodium ion transport [GO:0006814]; transmembrane transport [GO:0055085]	GO:0005272; GO:0005372; GO:0005452; GO:0005886; GO:0006814; GO:0006820; GO:0012506; GO:0015078; GO:0015106; GO:0015252; GO:0015293; GO:0015701; GO:0016323; GO:0016324; GO:0030003; GO:0034599; GO:0042044; GO:0046713; GO:0046715; GO:0046983; GO:0050801; GO:0051881; GO:0055085; GO:0071476; GO:1902600; GO:2000739	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]	active borate transmembrane transporter activity [GO:0046715]; bicarbonate transmembrane transporter activity [GO:0015106]; protein dimerization activity [GO:0046983]; proton channel activity [GO:0015252]; proton transmembrane transporter activity [GO:0015078]; sodium channel activity [GO:0005272]; solute:inorganic anion antiporter activity [GO:0005452]; symporter activity [GO:0015293]; water transmembrane transporter activity [GO:0005372]
Pocillopora_acuta_HIv2___RNAseq.g4386.t1	Q6GQN0	2.13e-90	Centrosomal protein of 41 kDa (Cep41) (Testis-specific gene A14 protein)	angiogenesis [GO:0001525]; axoneme assembly [GO:0035082]; cilium assembly [GO:0060271]; neural crest cell migration [GO:0001755]; protein polyglutamylation [GO:0018095]; protein transport [GO:0015031]	GO:0001525; GO:0001755; GO:0005737; GO:0005813; GO:0005814; GO:0005929; GO:0015031; GO:0018095; GO:0035082; GO:0036064; GO:0060271; GO:0070740	centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]	tubulin-glutamic acid ligase activity [GO:0070740]
Pocillopora_acuta_HIv2___RNAseq.g18940.t1	Q9P2P1	6.8e-11	Protein NYNRIN (NYN domain and retroviral integrase catalytic domain-containing protein) (Protein cousin of GIN1)	DNA integration [GO:0015074]; DNA synthesis involved in DNA repair [GO:0000731]; DNA-templated DNA replication [GO:0006261]	GO:0000731; GO:0003729; GO:0004521; GO:0004523; GO:0005634; GO:0006261; GO:0015074; GO:0016020; GO:0036464	cytoplasmic ribonucleoprotein granule [GO:0036464]; membrane [GO:0016020]; nucleus [GO:0005634]	mRNA binding [GO:0003729]; RNA endonuclease activity [GO:0004521]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
Pocillopora_acuta_HIv2___TS.g30260.t3	Q19269	6.78e-56	Zinc metalloproteinase nas-14 (EC 3.4.24.-) (Nematode astacin 14)	proteolysis [GO:0006508]	GO:0004222; GO:0005576; GO:0006508; GO:0008270	extracellular region [GO:0005576]	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g7310.t1	B5XAM2	4.46e-37	Large ribosomal subunit protein mL62 (Immature colon carcinoma transcript 1 protein homolog) (Peptidyl-tRNA hydrolase ICT1, mitochondrial) (EC 3.1.1.29)	mitochondrial translational termination [GO:0070126]	GO:0004045; GO:0005739; GO:0005762; GO:0016150; GO:0070126	mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]	peptidyl-tRNA hydrolase activity [GO:0004045]; translation release factor activity, codon nonspecific [GO:0016150]
Pocillopora_acuta_HIv2___RNAseq.g30114.t1	Q9H7F4	4.52e-126	Transmembrane protein 185B (Protein FAM11B)		GO:0016020	membrane [GO:0016020]	
Pocillopora_acuta_HIv2___RNAseq.g24636.t1	A4Z6H1	0	Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)	'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0005739; GO:0044208; GO:0046040	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]	adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]
Pocillopora_acuta_HIv2___TS.g1985.t2	Q9JLB4	6.55e-51	Cubilin (Intrinsic factor-cobalamin receptor)	cholesterol metabolic process [GO:0008203]; cobalamin metabolic process [GO:0009235]; cobalamin transport [GO:0015889]; establishment of localization in cell [GO:0051649]; lipoprotein transport [GO:0042953]; receptor-mediated endocytosis [GO:0006898]; response to bacterium [GO:0009617]	GO:0005509; GO:0005737; GO:0005765; GO:0005768; GO:0005783; GO:0005794; GO:0005903; GO:0005905; GO:0006898; GO:0008203; GO:0009235; GO:0009617; GO:0015889; GO:0016020; GO:0016324; GO:0030139; GO:0031419; GO:0031526; GO:0031528; GO:0038023; GO:0038024; GO:0042803; GO:0042953; GO:0043235; GO:0045177; GO:0051649; GO:0070062	apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; brush border [GO:0005903]; brush border membrane [GO:0031526]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; endocytic vesicle [GO:0030139]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; microvillus membrane [GO:0031528]; receptor complex [GO:0043235]	calcium ion binding [GO:0005509]; cargo receptor activity [GO:0038024]; cobalamin binding [GO:0031419]; protein homodimerization activity [GO:0042803]; signaling receptor activity [GO:0038023]
Pocillopora_acuta_HIv2___RNAseq.g31143.t1	P60897	2.21e-18	26S proteasome complex subunit SEM1 (26S proteasome complex subunit DSS1) (Deleted in split hand/split foot protein 1 homolog) (Split hand/foot deleted protein 1 homolog) (Split hand/foot malformation type 1 protein homolog)	double-strand break repair via homologous recombination [GO:0000724]; mRNA export from nucleus [GO:0006406]; proteasome assembly [GO:0043248]	GO:0000502; GO:0000724; GO:0006406; GO:0008541; GO:0032039; GO:0043248	integrator complex [GO:0032039]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]	
Pocillopora_acuta_HIv2___RNAseq.g26212.t1	Q08DG7	1.41e-24	Homeobox protein Hox-A3	angiogenesis [GO:0001525]; animal organ formation [GO:0048645]; anterior/posterior pattern specification [GO:0009952]; blood vessel remodeling [GO:0001974]; cartilage development [GO:0051216]; embryonic skeletal system morphogenesis [GO:0048704]; gene expression [GO:0010467]; glossopharyngeal nerve morphogenesis [GO:0021615]; parathyroid gland development [GO:0060017]; positive regulation of stem cell proliferation [GO:2000648]; regulation of transcription by RNA polymerase II [GO:0006357]; specification of animal organ position [GO:0010159]; stem cell proliferation [GO:0072089]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]	GO:0000978; GO:0000981; GO:0001525; GO:0001974; GO:0005634; GO:0005654; GO:0006357; GO:0009952; GO:0010159; GO:0010467; GO:0021615; GO:0030878; GO:0048538; GO:0048645; GO:0048704; GO:0051216; GO:0060017; GO:0071837; GO:0072089; GO:2000648	nucleoplasm [GO:0005654]; nucleus [GO:0005634]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; HMG box domain binding [GO:0071837]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
Pocillopora_acuta_HIv2___TS.g15951.t1	Q16526	0	Cryptochrome-1	blue light signaling pathway [GO:0009785]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; entrainment of circadian clock by photoperiod [GO:0043153]; gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; lipid storage [GO:0019915]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of glucocorticoid secretion [GO:2000850]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of nuclear receptor-mediated glucocorticoid signaling pathway [GO:2000323]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of protein ubiquitination [GO:0031398]; regulation of circadian rhythm [GO:0042752]; regulation of DNA damage checkpoint [GO:2000001]; response to activity [GO:0014823]; response to glucagon [GO:0033762]; response to insulin [GO:0032868]; response to light stimulus [GO:0009416]; signal transduction in response to DNA damage [GO:0042770]	GO:0000122; GO:0003677; GO:0003690; GO:0005634; GO:0005737; GO:0005739; GO:0006094; GO:0007623; GO:0009416; GO:0009785; GO:0009882; GO:0014823; GO:0016922; GO:0019901; GO:0019902; GO:0019915; GO:0031397; GO:0031398; GO:0032868; GO:0032922; GO:0033762; GO:0042593; GO:0042752; GO:0042754; GO:0042770; GO:0042826; GO:0043153; GO:0045721; GO:0045722; GO:0045744; GO:0045892; GO:0070888; GO:0071949; GO:2000001; GO:2000323; GO:2000850	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	blue light photoreceptor activity [GO:0009882]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; E-box binding [GO:0070888]; FAD binding [GO:0071949]; histone deacetylase binding [GO:0042826]; nuclear receptor binding [GO:0016922]; phosphatase binding [GO:0019902]; protein kinase binding [GO:0019901]
Pocillopora_acuta_HIv2___RNAseq.g11149.t1	P26714	4.1e-72	Gamma-aminobutyric acid receptor subunit beta (GABA(A) receptor)		GO:0004890; GO:0005230; GO:0005254; GO:0034707; GO:0045211	chloride channel complex [GO:0034707]; postsynaptic membrane [GO:0045211]	chloride channel activity [GO:0005254]; extracellular ligand-gated monoatomic ion channel activity [GO:0005230]; GABA-A receptor activity [GO:0004890]
Pocillopora_acuta_HIv2___RNAseq.g22745.t1	A1L1W9	3.49e-81	Monocarboxylate transporter 10 (MCT 10) (Solute carrier family 16 member 10)	aromatic amino acid transport [GO:0015801]; thyroid hormone transport [GO:0070327]	GO:0005302; GO:0005886; GO:0015173; GO:0015192; GO:0015196; GO:0015349; GO:0015801; GO:0016323; GO:0022857; GO:0070327	basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886]	aromatic amino acid transmembrane transporter activity [GO:0015173]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-tryptophan transmembrane transporter activity [GO:0015196]; L-tyrosine transmembrane transporter activity [GO:0005302]; thyroid hormone transmembrane transporter activity [GO:0015349]; transmembrane transporter activity [GO:0022857]
Pocillopora_acuta_HIv2___RNAseq.g24174.t1	Q4G5Y1	2.71e-97	Kelch domain-containing protein 2 (Endothelial differentiation inhibitory protein TNG)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process via the C-end degron rule pathway [GO:0140627]	GO:0005634; GO:0016567; GO:0016604; GO:0031462; GO:0031965; GO:0043161; GO:0140627; GO:1990756	Cul2-RING ubiquitin ligase complex [GO:0031462]; nuclear body [GO:0016604]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]	ubiquitin-like ligase-substrate adaptor activity [GO:1990756]
